"Código CPE";"Categoría del CPE";"Comunidad Autónoma";"CPE";"Unidades de medida"
"SOC_CLND014";"Leguminosas y proteaginosas secas para la producción de grano (incluidas las semillas y las mezclas de cereales con leguminosas)";"Comunidad Autónoma de La Rioja";"1747.44";"€/ha"
"SOC_CLND015";"Guisantes, habas y altramuces dulces";"Comunidad Autónoma de Andalucía";"328.58";"€/ha"
"SOC_CLND015";"Guisantes, habas y altramuces dulces";"Comunidad Autónoma de Aragón";"479.64";"€/ha"
"SOC_CLND015";"Guisantes, habas y altramuces dulces";"Principado de Asturias";"368";"€/ha"
"SOC_CLND015";"Guisantes, habas y altramuces dulces";"Comunidad Autónoma de Illes Balears";"219.22";"€/ha"
"SOC_CLND015";"Guisantes, habas y altramuces dulces";"Comunidad Autónoma de Canarias";"506.11";"€/ha"
"SOC_CLND015";"Guisantes, habas y altramuces dulces";"Comunidad Autónoma de Cantabria";"445.44";"€/ha"
"SOC_CLND015";"Guisantes, habas y altramuces dulces";"Comunidad Autónoma de Castilla y León";"363.26";"€/ha"
"SOC_CLND015";"Guisantes, habas y altramuces dulces";"Comunidad Autónoma de Castilla-La Mancha";"336.15";"€/ha"
"SOC_CLND015";"Guisantes, habas y altramuces dulces";"Comunidad Autónoma de Cataluña";"639.54";"€/ha"
"SOC_CLND015";"Guisantes, habas y altramuces dulces";"Comunidad Valenciana";"397.62";"€/ha"
"SOC_CLND015";"Guisantes, habas y altramuces dulces";"Comunidad Autónoma de Extremadura";"338.06";"€/ha"
"SOC_CLND015";"Guisantes, habas y altramuces dulces";"Comunidad Autónoma de Galicia";"375.59";"€/ha"
"SOC_CLND015";"Guisantes, habas y altramuces dulces";"Comunidad de Madrid";"327.22";"€/ha"
"SOC_CLND015";"Guisantes, habas y altramuces dulces";"Región de Murcia";"579.33";"€/ha"
"SOC_CLND015";"Guisantes, habas y altramuces dulces";"Comunidad Foral de Navarra";"501.04";"€/ha"
"SOC_CLND015";"Guisantes, habas y altramuces dulces";"Comunidad Autónoma del País Vasco";"641.04";"€/ha"
"SOC_CLND015";"Guisantes, habas y altramuces dulces";"Comunidad Autónoma de La Rioja";"553.52";"€/ha"
"SOC_CLND017";"Patatas (incluidas las patatas de siembra)";"Comunidad Autónoma de Andalucía";"10941.24";"€/ha"
"SOC_CLND017";"Patatas (incluidas las patatas de siembra)";"Comunidad Autónoma de Aragón";"7808.4";"€/ha"
"SOC_CLND017";"Patatas (incluidas las patatas de siembra)";"Principado de Asturias";"5024.55";"€/ha"
"SOC_CLND017";"Patatas (incluidas las patatas de siembra)";"Comunidad Autónoma de Illes Balears";"12205.89";"€/ha"
"SOC_CLND017";"Patatas (incluidas las patatas de siembra)";"Comunidad Autónoma de Canarias";"12130.31";"€/ha"
"SOC_CLND017";"Patatas (incluidas las patatas de siembra)";"Comunidad Autónoma de Cantabria";"7861.25";"€/ha"
"SOC_CLND017";"Patatas (incluidas las patatas de siembra)";"Comunidad Autónoma de Castilla y León";"9739.26";"€/ha"
"SOC_CLND017";"Patatas (incluidas las patatas de siembra)";"Comunidad Autónoma de Castilla-La Mancha";"8426.56";"€/ha"
"SOC_CLND017";"Patatas (incluidas las patatas de siembra)";"Comunidad Autónoma de Cataluña";"6790.3";"€/ha"
"SOC_CLND017";"Patatas (incluidas las patatas de siembra)";"Comunidad Valenciana";"10170.7";"€/ha"
