"Código SIEX";"Código asociación (NIF)";"Razón social";"Provincia";"Comunidad Autónoma";Fecha de alta;Fecha de modificación;Fecha de baja
"84";"F02114122";"Frutos Secos Manchuela S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"85";"F02116069";"El Parque de Aguas Nuevas S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"86";"F02117547";"Ralcosa S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"87";"F02120574";"Sat Productores de Almendra Vega Alta del Segura";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"88";"F02121929";"Almendras Sierra del Segura S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"89";"F02126951";"Manchega de la Almendra S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"90";"F02152726";"Nuestra Señora del Rosario S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"91";"F02180719";"Cinegética de Alpera S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"92";"F02182483";"Oleicola del Guadalimar S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"93";"F02188340";"Pino Campo Villamalea S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"94";"F02189942";"Frutales Santiago Apóstol S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"95";"F02195071";"Nueva Sierra Agraria S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"96";"F02195188";"San Roque de Tobarra S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"97";"F02198992";"Sat Cañada de la hoz";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"98";"F02211019";"Hermanos García Romero S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"99";"F02212470";"Agrícola y Forestal de Nerpio S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"100";"F02216133";"Corymar S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"101";"F02228096";"Vinícola Erzul S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"102";"F02232155";"Villacham S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"103";"F02240695";"Regantes Agua del Paraiso S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"104";"F02258747";"Finca La Cañada de Valdeganga S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"105";"F02269678";"Vinícola de Villarrobledo S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"106";"F02289411";"Mercajucar S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"107";"F02292399";"Montasa S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"108";"F02293579";"Agraria Lucas Cerro S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"109";"F02293587";"Agraria Casa del Río S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"110";"F02308070";"Hermanos Gómez S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"111";"F02308963";"Cunibañez S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"112";"F02310415";"Cuarto Agustín S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"113";"F02311652";"Isso 2000 S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"114";"F02333433";"Toboso Picazo S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"115";"F02334324";"Peyfel S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"116";"F02346831";"Agro Casas S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"117";"F02352573";"Hermanos Parreño, S.C.L.";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"118";"F02355956";"Ecoganadera de la Sierra del Segura S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"119";"F02358620";"Samichamp S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"120";"F02361707";"Hermanos Cuerda S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"121";"F02363539";"Casa Alcocer S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"122";"F02370310";"Hermanos Martínez López S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"123";"F02372654";"Albaricoques Isso S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"124";"F02374643";"Chamtra S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"125";"F02377612";"Colladochamp S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"126";"F02381218";"Champybueno S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"127";"F02382018";"Cunimoti S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"128";"F02386860";"Nutsachamp S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"129";"F02394021";"Namar S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"130";"F02409183";"Bataller Sociedad Cooperativa de Castilla La Mancha";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"131";"F02412062";"Abrilia S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"132";"F02417657";"Sánchez Olmeda S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"133";"F02442325";"Uvas Selectas de Navas S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"134";"F02443323";"La Mora y los Toyos S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"135";"F02450260";"Cultimar S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"136";"F02450518";"Piñones de Albacete S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"137";"F02451102";"Vidavi S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"138";"F02451839";"Champicala S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"139";"F02465367";"Finca La Palomera S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"140";"F02468403";"Cañada de Valdemembra S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"141";"F02474112";"Naturvilla S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"142";"F02480408";"Hongofres S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"143";"F02484889";"Picazo Sánchez-Moraga S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"144";"F02503662";"Neofungi S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"145";"F02508406";"Paños Asensio S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"146";"F02518066";"Garcichamp, S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"147";"F02521599";"Oleovinícola Campos de Munera S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"148";"F02524973";"Vallejo de Los Lazos S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"149";"F02539195";"Setas Santa Ana S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"150";"F02545739";"Agrícola Mares S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"151";"F02550010";"Pepema S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"152";"F02554806";"Agroplaza S.C de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"153";"F02558856";"Corpeal Sociedad Cooperativa de Castilla La Mancha";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"154";"F02563195";"Setas Cocco Sociedad Cooperativa de Castilla-La Mancha";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"155";"F02582179";"Biochamp S. Coop. de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"156";"F02585495";"Azafrán Español S. Coop. de CLM";"Ciudad Real";"CASTILLA-LA MANCHA";26/12/2023;;
"157";"F02597086";"Manchuela Wines Group, S. Coop. de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"158";"F02602910";"El Altillo, S. Coop. de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"159";"F02609253";"Agro Solutions, S. Coop. de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"160";"F02614139";"Biocert S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"161";"F02614865";"Martvic S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
