"Código SIEX";"Código asociación (NIF)";"Razón social";"Provincia";"Comunidad Autónoma";Fecha de alta;Fecha de modificación;Fecha de baja
"1344";"F23007545";"SCA SAN BARTOLOMÉ";"Jaén";"ANDALUCÍA";26/12/2023;;
"1345";"F23007693";"SCA SANTA CLOTILDE";"Jaén";"ANDALUCÍA";26/12/2023;;
"1346";"F23007719";"SCA NTRA SRA DEL PILAR";"Jaén";"ANDALUCÍA";26/12/2023;;
"1347";"F23007735";"SCA SAN VICENTE";"Jaén";"ANDALUCÍA";26/12/2023;;
"1348";"F23007743";"SCA SAN ANTÓN";"Jaén";"ANDALUCÍA";26/12/2023;;
"1349";"F23007750";"SCA DEL CAMPO SAN ISIDRO";"Jaén";"ANDALUCÍA";26/12/2023;;
"1350";"F23007875";"SCA VIRGEN DEL PILAR";"Jaén";"ANDALUCÍA";26/12/2023;;
"1351";"F23007891";"SCA SAN ISIDRO";"Jaén";"ANDALUCÍA";26/12/2023;;
"1352";"F23007990";"SCA NTRA SRA DE LOS REMEDIOS";"Jaén";"ANDALUCÍA";26/12/2023;;
"1353";"F23008253";"SCA SAN RAFAEL";"Jaén";"ANDALUCÍA";26/12/2023;;
"1354";"F23008279";"SCA NUESTRA SEÑORA DEL CARMEN";"Jaén";"ANDALUCÍA";26/12/2023;;
"1355";"F23008444";"SCA SAN GINÉS Y SAN ISIDRO";"Jaén";"ANDALUCÍA";26/12/2023;;
"1356";"F23008485";"SCA SAN BENITO";"Jaén";"ANDALUCÍA";26/12/2023;;
"1357";"F23008501";"SCA LA PURÍSIMA CONCEPCIÓN";"Jaén";"ANDALUCÍA";26/12/2023;;
"1358";"F23008543";"SCA SANTA TERESA DE JESUS";"Jaén";"ANDALUCÍA";26/12/2023;;
"1359";"F23008576";"SCA SAN MARCOS";"Jaén";"ANDALUCÍA";26/12/2023;;
"1360";"F23008626";"SCA SAN FRANCISCO";"Jaén";"ANDALUCÍA";26/12/2023;;
"1361";"F23008683";"SCA NTRA SRA DE LA ASUNCIÓN";"Jaén";"ANDALUCÍA";26/12/2023;;
"1362";"F23008832";"SCA SANTA MARÍA ";"Jaén";"ANDALUCÍA";26/12/2023;;
"1363";"F23008980";"SCA SAN ADOLFO";"Jaén";"ANDALUCÍA";26/12/2023;;
"1364";"F23009228";"SCA SAN ANTONIO";"Jaén";"ANDALUCÍA";26/12/2023;;
"1365";"F23009244";"SCA NTRA SRA  DEL ROSARIO";"Jaén";"ANDALUCÍA";26/12/2023;;
"1366";"F23009251";"SCA AGRICOLA OLIVARERA SAN ANTONIO";"Jaén";"ANDALUCÍA";26/12/2023;;
"1367";"F23009269";"SCA NTRA SRA DE LA ENCARNACIÓN";"Jaén";"ANDALUCÍA";26/12/2023;;
"1368";"F23009798";"SCA NTRA SRA DE LA ASUNCIÓN";"Jaén";"ANDALUCÍA";26/12/2023;;
"1369";"F23009806";"SCA SAN FRANCISCO";"Jaén";"ANDALUCÍA";26/12/2023;;
"1370";"F23009897";"SCA SAN FRANCISCO";"Jaén";"ANDALUCÍA";26/12/2023;;
"1371";"F23009905";"SAT LA CONCEPCIÓN Nº 3.355";"Jaén";"ANDALUCÍA";26/12/2023;;
"1372";"F23009970";"SCA HORTOFRUTÍCOLA SAN MARCOS";"Jaén";"ANDALUCÍA";26/12/2023;;
"1373";"F23010036";"SCA NTRA SRA DEL ROSARIO";"Jaén";"ANDALUCÍA";26/12/2023;;
"1374";"F23010051";"SCA NTRA SRA DEL OLIVO";"Jaén";"ANDALUCÍA";26/12/2023;;
"1375";"F23010143";"SCA DEL CAMPO LA CARRERA";"Jaén";"ANDALUCÍA";26/12/2023;;
"1376";"F23010275";"SCA SANTA ISABEL";"Jaén";"ANDALUCÍA";26/12/2023;;
"1377";"F23010291";"SCA SAN BONOSO Y SAN MAXIMIAMO";"Jaén";"ANDALUCÍA";26/12/2023;;
"1378";"F23010382";"SCA VIRGEN DE ALHARILLA";"Jaén";"ANDALUCÍA";26/12/2023;;
"1379";"F23010499";"SCA SAN SEBASTIÁN";"Jaén";"ANDALUCÍA";26/12/2023;;
"1380";"f23011331";"SCA DESARROLLO LOPERANO";"Jaén";"ANDALUCÍA";26/12/2023;;
"1381";"F23011877";"SCA NTRA SRA DE LOS REMEDIOS ";"Jaén";"ANDALUCÍA";26/12/2023;;
"1382";"F23012768";"SCA NTRA SRA DEL ROSARIO";"Jaén";"ANDALUCÍA";26/12/2023;;
"1383";"F23012776";"SCA DOMINGO SOLÍS";"Jaén";"ANDALUCÍA";26/12/2023;;
"1384";"F23013071";"SCA SAN ISIDRO LABRADOR";"Jaén";"ANDALUCÍA";26/12/2023;;
"1385";"F23014731";"SCA SANTA EULALIA";"Jaén";"ANDALUCÍA";26/12/2023;;
"1386";"F23015001";"SCA SAN FRANCISCO DE ASÍS";"Jaén";"ANDALUCÍA";26/12/2023;;
"1387";"F23023864";"SCA NUEVA ESPERANZA";"Jaén";"ANDALUCÍA";26/12/2023;;
"1388";"F23028343";"SAT NTRA SRA DEL CAMINO Nº  2.785";"Jaén";"ANDALUCÍA";26/12/2023;;
"1389";"F23030224";"SCA LOS TOSCARES";"Jaén";"ANDALUCÍA";26/12/2023;;
"1390";"F23034911";"SCA AGRARIA DE PORCUNA";"Jaén";"ANDALUCÍA";26/12/2023;;
"1391";"F23035280";"SAT nº 5645 EL OLIVO";"Jaén";"ANDALUCÍA";26/12/2023;;
"1392";"F23045016";"SCA NTRA SRA DE LOS MILAGROS";"Jaén";"ANDALUCÍA";26/12/2023;;
"1393";"F23053630";"SCA JAENCOOP 2º GRADO";"Jaén";"ANDALUCÍA";26/12/2023;;
"1394";"F23059371";"SCA TORREDONJIMENO";"Jaén";"ANDALUCÍA";26/12/2023;;
"1395";"F23212871";"SCA SIERRA DE GÉNAVE";"Jaén";"ANDALUCÍA";26/12/2023;;
"1396";"F23297179";"SCA LA BOBADILLA";"Jaén";"ANDALUCÍA";26/12/2023;;
"1397";"F23332356";"SCA SAN MARCOS EVANGELISTA";"Jaén";"ANDALUCÍA";26/12/2023;;
"1398";"F23332414";"SCA OLEOXA ACEITES DE JAÉN";"Jaén";"ANDALUCÍA";26/12/2023;;
"1399";"F23340698";"SCA OLEÍCOLA BAEZA";"Jaén";"ANDALUCÍA";26/12/2023;;
"1400";"F23387319";"SCA LA REMEDIADORA";"Jaén";"ANDALUCÍA";26/12/2023;;
"1401";"F23392384";"SCA AGROSEGURA";"Jaén";"ANDALUCÍA";26/12/2023;;
"1402";"F23395148";"SCA SIERRA DE SAN PEDRO";"Jaén";"ANDALUCÍA";26/12/2023;;
"1403";"F23424070";"SCA ZUMOLIVA";"Jaén";"ANDALUCÍA";26/12/2023;;
"1404";"F23496821";"SCA LA VICARÍA";"Jaén";"ANDALUCÍA";26/12/2023;;
"1405";"F23502800";"SCA LA VEGA DE VILLANUEVA";"Jaén";"ANDALUCÍA";26/12/2023;;
"1406";"F23503436";"SCA UNIÓN OLEÍCOLA CAMBIL";"Jaén";"ANDALUCÍA";26/12/2023;;
"1407";"F23527708";"SCA SIERRA DE LA PANDERA";"Jaén";"ANDALUCÍA";26/12/2023;;
"1408";"F23572423";"SCA FUENTE DEL ROSAL";"Jaén";"ANDALUCÍA";26/12/2023;;
"1409";"F23579147";"SCA LA UNIÓN DE CHILLUÉVAR";"Jaén";"ANDALUCÍA";26/12/2023;;
"1410";"F23583032";"SCA COBIOSUR";"Jaén";"ANDALUCÍA";26/12/2023;;
"1411";"F23656028";"SCA AGRÍCOLA DE BAILÉN VIRGEN DE ZOCUECA";"Jaén";"ANDALUCÍA";26/12/2023;;
"1412";"F23661200";"SCA ACEITES GUADALQUIVIR";"Jaén";"ANDALUCÍA";26/12/2023;;
"1413";"F23671316";"SCA OLEÍCOLA VALDEPEÑAS DE JAEN";"Jaén";"ANDALUCÍA";26/12/2023;;
"1414";"F23788854";"SCA CASTILLO DE HORNOS";"Jaén";"ANDALUCÍA";26/12/2023;;
"1415";"F23791510";"SCA LA UNIÓN DEL SANTO CRISTO";"Jaén";"ANDALUCÍA";26/12/2023;;
"1416";"F23791635";"SCA CIUDAD DE JAÉN";"Jaén";"ANDALUCÍA";26/12/2023;;
"1417";"F23801046";"SCA HORTÍCOLAS DEL GUADALQUIVIR";"Jaén";"ANDALUCÍA";26/12/2023;;
"1418";"F24006918";"VINOS DEL BIERZO, S. COOP.";"León";"CASTILLA y LEÓN";26/12/2023;;
"1419";"F24006991";"BODEGAS CEPAS DEL BIERZO, S. COOP.";"León";"CASTILLA y LEÓN";26/12/2023;;
"1420";"F24007015";"S. COOP. VIÑAS DEL BIERZO";"León";"CASTILLA y LEÓN";26/12/2023;;
"1421";"F24008237";"S. COOP. LECHERA LAR";"León";"CASTILLA y LEÓN";26/12/2023;;
"1422";"F24011058";"S. COOP. VINOS DE LA RIBERA DEL CEA";"León";"CASTILLA y LEÓN";26/12/2023;;
"1423";"F24012940";"S. COOP. VINICOLA COMARCAL DE VALDEVIMBRE";"León";"CASTILLA y LEÓN";26/12/2023;;
"1424";"F24016966";"S. COOP. VALDEVEGA";"León";"CASTILLA y LEÓN";26/12/2023;;
"1425";"F24019739";"S. COOP. COLENOR";"León";"CASTILLA y LEÓN";26/12/2023;;
"1426";"F24020604";"CENTRAL HORTOFRUTICOLA DEL BIERZO";"León";"CASTILLA y LEÓN";26/12/2023;;
"1427";"F24048332";"S. COOP. VEGA ESLA";"León";"CASTILLA y LEÓN";26/12/2023;;
"1428";"F24078487";"CENTRAL HORTOF. DE CARRACEDELO, S. COOP.";"León";"CASTILLA y LEÓN";26/12/2023;;
"1429";"F24245870";"S. COOP.  GANADERA DEL SUR DE LEÓN (COVISURLE)";"León";"CASTILLA y LEÓN";26/12/2023;;
"1430";"F24267098";"S. COOP. UCOGAL";"León";"CASTILLA y LEÓN";26/12/2023;;
"1431";"F24280059";"S. COOP. FRUTIBER";"León";"CASTILLA y LEÓN";26/12/2023;;
"1432";"F24300378";"S. COOP. FRUTICULTORES DEL BIERZO (COFRUBI)";"León";"CASTILLA y LEÓN";26/12/2023;;
"1433";"F24300451";"S. COOP. CERES LEONESA";"León";"CASTILLA y LEÓN";26/12/2023;;
"1434";"F24316291";"S. COOP. AGRARIA GISTREDO";"León";"CASTILLA y LEÓN";26/12/2023;;
"1435";"F24342958";"S.COOP. VALDUEBRO";"León";"CASTILLA y LEÓN";26/12/2023;;
"1436";"F24399990";"S. COOP. MONTAÑA DEL TELENO";"León";"CASTILLA y LEÓN";26/12/2023;;
"1437";"F24430282";"LACTOCEA, S. COOP.";"León";"CASTILLA y LEÓN";26/12/2023;;
"1438";"F24694648";"S. COOP. OPCYL";"León";"CASTILLA y LEÓN";26/12/2023;;
"1439";"F25002338";"Cadí, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1440";"F25003252";"Camp de Gimenells, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1441";"F25003260";"Linyola Agropecuària i Secció de Crèdit, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1442";"F25003393";"Camp La Fraternal d'Albagés, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1443";"F25003401";"Agrícola d'Albatàrrec, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1444";"F25003419";"Agrícola de l'Albi, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1445";"F25003435";"Agroserveis d'Almacelles, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1446";"F25003518";"Camp i Secció de Crèdit Sant Isidre de Bellcaire d'Urgell, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1447";"F25003542";"Camp de Bovera, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1448";"F25003559";"Sant Isidre de les Borges Blanques i Secció de Crèdit, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1449";"F25003625";"Camp de Cervià de les Garrigues i Secció de Crèdit, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1450";"F25003674";"Cooperativa la Granadella i Secció de Crèdit de Sant Antoni Abad, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1451";"F25003716";"Agrícola Sant Isidre i Secció de Crèdit de Juncosa de les Garrigues, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1452";"F25003740";"Camp de Maldà, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1453";"F25003757";"Camp Foment Maialenc i Secció de Crèdit, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1454";"F25003765";"Agrària de Miralcamp, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1455";"F25003815";"Agrària Sant Roc de Palau d'Anglesola, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1456";"F25003872";"Fru-Rose, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1457";"F25003914";"Cooperativa Agrícola de el Soleràs, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1458";"F25003922";"Agrària Ramadera Pallars de Sort, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1459";"F25003955";"Camp i Secció de Crèdit d'els Torms, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1460";"F25003989";"Foment Agrícola les Planes, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1461";"F25004037";"Camp de Vinaixa, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1462";"F25004045";"Camp d'Alcarràs i Secció de Crèdit, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1463";"F25004086";"Agrària i Secció de Crèdit la Borgenca, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1464";"F25004169";"Agrupació del Camp Sant Isidre Llaurador, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1465";"F25004409";"Cooperativa d'Ivars i Secció de Crèdit, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1466";"F25004482";"Agrària de Vallbona de les Monges, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1467";"F25005562";"Agrària Verge de Carrassumada i Secció de Crèdit, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1468";"F25005570";"Camp i Secció de Crèdit de Massalcoreig, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1469";"F25005588";"Camp Sant Salvador d'Alfés, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1470";"F25007295";"Agrícola i Secció de Crèdit d'Alcoletge, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1471";"F25007469";"Frutera Segrià, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1472";"F25007741";"Agrària Progressiva de Benavent-Portella, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1473";"F25008285";"Agropecuària de Soses, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1474";"F25008749";"Seròs-Fruits, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1475";"F25009739";"Camp Sant Faust d'Alguaire i Secció de Crèdit, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1476";"F25009762";"Del Camp Sant Gaietà d'Almenar, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1477";"F25009770";"Agropecuària i Secció de Crèdit Verge de les Sogues de Bellvís, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1478";"F25011800";"Camp de Sunyer, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1479";"F25012196";"Fructícola de Torrefarrera, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1480";"F25012261";"Agrària Espluguense i Secció de Crèdit, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1481";"F25012311";"Sant Miquel de Bell-lloc, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1482";"F25012501";"Agropecuària d'Artesa de Segre, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1483";"F25013624";"Agrària i Secció de Crèdit Sant Roc d'Albesa, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1484";"F25015678";"Almenar Fruits, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1485";"F25015769";"Agropecuària i Secció de Crèdit de Juneda, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1486";"F25015900";"Cooperativa del Camp Sant Gaietà d'Aitona, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1487";"F25016452";"Camp de Térmens, SCCL ";"Lleida";"CATALUÑA";26/12/2023;;
"1488";"F25019548";"Fruitera i Secció de Crèdit de Torrelameu, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1489";"F25023938";"Actel, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1490";"F25026451";"Miralcamp Fruits, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1491";"F25029174";"Cotecnica, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1492";"F25076852";"Transalfals & la Vispesa, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1493";"F25220104";"Cooperativa Fruits Secs de les Garrigues, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1494";"F25284209";"Grup Cooperatiu Fruits de Ponent SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1495";"F25285024";"Trecoop Fruites, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1496";"F25506023";"Ramaders de Juncosa, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1497";"F25578055";"Fruitera de Corbins i Secció de Crèdit, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1498";"F25686478";"Arbequina i Secció de Crèdit, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1499";"F25848151";"Gestió Agroramadera de Ponent GAP, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"1500";"F26005751";"BODEGA NTRA. SEÑORA DE VICO, S. COOP.";"Rioja, La";"LA RIOJA";26/12/2023;;
"1501";"F26005843";"BODEGA SAN ISIDRO LABRADOR, S. COOP.";"Rioja, La";"LA RIOJA";26/12/2023;;
"1502";"F26005868";"BODEGA NTRA. SRA ANUNCIACIÓN, S. COOP.";"Rioja, La";"LA RIOJA";26/12/2023;;
"1503";"F26006056";"BODEGA REAL DE NÁJERA. S. COOP.";"Rioja, La";"LA RIOJA";26/12/2023;;
"1504";"F26006221";"COOPERATIVA VIRGEN DE CARRAVIESO";"Rioja, La";"LA RIOJA";26/12/2023;;
"1505";"F26006445";"BODEGA ARCA DE NOÉ, S. COOP.";"Rioja, La";"LA RIOJA";26/12/2023;;
"1506";"F26006742";"BODEGA SAN MIGUEL, S. COOP.";"Rioja, La";"LA RIOJA";26/12/2023;;
"1507";"F26006833";"BODEGAS TARÓN, S. COOP.";"Rioja, La";"LA RIOJA";26/12/2023;;
"1508";"F26006940";"BODEGA VINICOLA RIOJANA DE ALCANADRE, SOC. COOP.";"Rioja, La";"LA RIOJA";26/12/2023;;
"1509";"F26006957";"BODEGA VIÑEDOS DE ALDEANUEVA, S. COOP.";"Rioja, La";"LA RIOJA";26/12/2023;;
"1510";"F26007005";"BODEGAS MARQUÉS DE REINOSA, S. COOP.";"Rioja, La";"LA RIOJA";26/12/2023;;
"1511";"F26007450";"BODEGA INT. SANTIAGO APOSTOL, S. COOP.";"Rioja, La";"LA RIOJA";26/12/2023;;
"1512";"F26008060";"BODEGA SAN PEDRO APOSTOL, S. COOP.";"Rioja, La";"LA RIOJA";26/12/2023;;
"1513";"F26009118";"BODEGA SAN COSME Y SAN DAMIAN, S. COOP.";"Rioja, La";"LA RIOJA";26/12/2023;;
"1514";"F26013227";"BODEGAS NAJERILLA, S. COOP.";"Rioja, La";"LA RIOJA";26/12/2023;;
"1515";"F26014472";"BODEGA SAN ESTEBAN PROTOMARTIR, S. COOP.";"Rioja, La";"LA RIOJA";26/12/2023;;
"1516";"F26024620";"COOPERATIVA GARU, S. COOP.";"Rioja, La";"LA RIOJA";26/12/2023;;
"1517";"F26040717";"BODEGAS PATROCINIO, S. COOP.";"Rioja, La";"LA RIOJA";26/12/2023;;
"1518";"F26049957";"BODEGA VINICOLA DAVALILLO, S.C.L.";"Rioja, La";"LA RIOJA";26/12/2023;;
"1519";"F26104919";"BODEGA COMARCAL DE NAVARRETE, S. COOP.";"Rioja, La";"LA RIOJA";26/12/2023;;
"1520";"F26273672";"BODEGA COOP. SAN CEBRÍN, S.C.L.";"Rioja, La";"LA RIOJA";26/12/2023;;
"1521";"F26288951";"BODEGA HERMEDAÑA, S. COOP.";"Rioja, La";"LA RIOJA";26/12/2023;;
"1522";"F26292581";"BODEGA SDAD. COOP. VITIVINICOLA DE SOTES";"Rioja, La";"LA RIOJA";26/12/2023;;
"1523";"F26296780";"BODEGA SEÑORÍO DE VALBORNEDO, S. COOP.";"Rioja, La";"LA RIOJA";26/12/2023;;
"1524";"F27004357";"CAMPO DE PÁRAMO, S. COOP. GALEGA";"Lugo";"GALICIA";26/12/2023;;
"1525";"F27013739";"LEMOS, S. COOP. GALEGA";"Lugo";"GALICIA";26/12/2023;;
"1526";"F27022797";"CODEIRA, S. COOP. GALEGA";"Lugo";"GALICIA";26/12/2023;;
"1527";"F27027218";"CAXIGO, S. COOP. GALEGA";"Lugo";"GALICIA";26/12/2023;;
"1528";"F27030279";"O CAXIGO, S. COOP. GALEGA";"Lugo";"GALICIA";26/12/2023;;
"1529";"F27140565";"O PEREIRO, S. COOP. GALEGA";"Lugo";"GALICIA";26/12/2023;;
"1530";"F27176775";"A CARQUEIXA, S. COOP. GALEGA";"Lugo";"GALICIA";26/12/2023;;
"1531";"F27207323";"O XEIXO, S. COOP. GALEGA";"Lugo";"GALICIA";26/12/2023;;
"1532";"F27230184";"VILAXUSTE, S. COOP. GALEGA";"Lugo";"GALICIA";26/12/2023;;
"1533";"F27317593";"AIRA S. COOP. GALEGA";"Lugo";"GALICIA";26/12/2023;;
"1534";"F27339043";"LEIRA S. COOP. GALEGA";"Lugo";"GALICIA";26/12/2023;;
"1535";"F27388594";"CODEGUI, S. COOP. GALEGA";"Lugo";"GALICIA";26/12/2023;;
"1536";"F27430511";"ALMOGA, S. COOP. GALEGA";"Lugo";"GALICIA";26/12/2023;;
"1537";"F27453208";"TERRAS DO MIÑO, S. COOP. GALEGA";"Lugo";"GALICIA";26/12/2023;;
"1538";"F27453844";"TERRAS DA MARIÑA, S. COOP. GALEGA";"Lugo";"GALICIA";26/12/2023;;
"1539";"F28140259";"Vinícola de Arganda Sociedad Cooperativa";"Madrid";"MADRID";26/12/2023;;
"1540";"F28140267";"Aceitera de Arganda Sociedad Cooperativa";"Madrid";"MADRID";26/12/2023;;
"1541";"F28150662";"Cooperativa Nuestra Señora de la Soledad";"Madrid";"MADRID";26/12/2023;;
"1542";"F28154482";"Cooperativa Aceitera de Tielmes";"Madrid";"MADRID";26/12/2023;;
"1543";"F28154573";"Cooperativa Aceitera del Campo";"Madrid";"MADRID";26/12/2023;;
"1544";"F28154607";"Virgen de la Oliva Sociedad Cooperativa";"Madrid";"MADRID";26/12/2023;;
"1545";"F28155976";"Cooperativa Vinícola San Roque";"Madrid";"MADRID";26/12/2023;;
"1546";"F28157907";"Sociedad Cooperativa Castellana de Ganaderos";"Madrid";"MADRID";26/12/2023;;
"1547";"F28188902";"Cooperativa del Campo Santo Cristo";"Madrid";"MADRID";26/12/2023;;
"1548";"F28254555";"Cooperativa del Campo Vinícola San Isidro";"Madrid";"MADRID";26/12/2023;;
"1549";"F28354868";"SAT 2906 Don Álvaro de Luna";"Madrid";"MADRID";26/12/2023;;
"1550";"F28354892";"Cooperativa San Isidro";"Madrid";"MADRID";26/12/2023;;
"1551";"F28354918";"SAT 2908 Santa Lucía";"Madrid";"MADRID";26/12/2023;;
"1552";"F28354926";"SAT 1431 San Esteban Protomártir";"Madrid";"MADRID";26/12/2023;;
"1553";"F28354934";"SAT 1433 La Peraleña";"Madrid";"MADRID";26/12/2023;;
"1554";"F28354983";"SAT 1679 Virgen de la Poveda";"Madrid";"MADRID";26/12/2023;;
"1555";"F28355410";"SAT 1680 Santiago Apóstol";"Madrid";"MADRID";26/12/2023;;
"1556";"F28365237";"Bodega Cooperatova San Andrés";"Madrid";"MADRID";26/12/2023;;
"1557";"F28418275";"Recespaña Sociedad Cooperativa";"Madrid";"MADRID";26/12/2023;;
"1558";"F28436939";"Cooperativa Comendador de Castilla";"Madrid";"MADRID";26/12/2023;;
"1559";"F28578425";"SAT 2900 El Arco";"Madrid";"MADRID";26/12/2023;;
"1560";"F28802577";"SAT Virgen de la Nueva";"Madrid";"MADRID";26/12/2023;;
"1561";"F28870400";"SAT 4479 Nuestra Señora de la Concepción";"Madrid";"MADRID";26/12/2023;;
"1562";"F29007242";"SCA AGRÍCOLA DE CÓMPETA";"Málaga";"ANDALUCÍA";26/12/2023;;
"1563";"F29007267";"SCA COOPECAN";"Málaga";"ANDALUCÍA";26/12/2023;;
"1564";"F29007291";"SCA OLIVARERA LA PURÍSIMA";"Málaga";"ANDALUCÍA";26/12/2023;;
"1565";"F29007358";"SCA OLIVARERA SAN JUSTO Y NTRA. SRA. DEL CARMEN";"Málaga";"ANDALUCÍA";26/12/2023;;
"1566";"F29007416";"SCA OLIVARERA Y FRUTERA SAN ISIDRO";"Málaga";"ANDALUCÍA";26/12/2023;;
"1567";"F29007440";"SCA AGRÍCOLA DE ESTEPONA";"Málaga";"ANDALUCÍA";26/12/2023;;
"1568";"F29007549";"SCA AGRO-OLIVARERA SAGRADO CORAZÓN";"Málaga";"ANDALUCÍA";26/12/2023;;
"1569";"F29007655";"SCA OLIVARERA NTRA. SRA. DE GRACIA";"Málaga";"ANDALUCÍA";26/12/2023;;
"1570";"F29007663";"SCA AGRO-OLIVARERA PURÍSIMA SANTIAGO (COPUSAN)";"Málaga";"ANDALUCÍA";26/12/2023;;
"1571";"F29007697";"SCA AGRARIA VIRGEN DE LAS VIRTUDES";"Málaga";"ANDALUCÍA";26/12/2023;;
"1572";"F29007747";"SCA OLIVARERA SAN JUAN BAUTISTA";"Málaga";"ANDALUCÍA";26/12/2023;;
"1573";"F29007820";"SCA AGROPECUARIA DE ANTEQUERA NTRA. SRA. DE LOS REMEDIOS";"Málaga";"ANDALUCÍA";26/12/2023;;
"1574";"F29007879";"SCA OLIVARERA NTRA. SRA. DEL ROSARIO";"Málaga";"ANDALUCÍA";26/12/2023;;
"1575";"F29008547";"SCA AGRÍCOLA SANTA TERESA DE JESÚS";"Málaga";"ANDALUCÍA";26/12/2023;;
"1576";"F29008828";"SCA AGRÍCOLA NUESTRA SEÑORA DEL CARMEN";"Málaga";"ANDALUCÍA";26/12/2023;;
"1577";"F29010634";"SCA AGRÍCOLA DE FRIGILIANA";"Málaga";"ANDALUCÍA";26/12/2023;;
"1578";"F29010857";"SCA OLIVARERA SAN JOSÉ ARTESANO";"Málaga";"ANDALUCÍA";26/12/2023;;
"1579";"F29011269";"SCA AGRO-OLIVARERA SAN COSME Y SAN DAMIÁN";"Málaga";"ANDALUCÍA";26/12/2023;;
"1580";"F29011277";"SCA AGRICOLA OLIVARERA NTRA. SRA. DEL ROSARIO";"Málaga";"ANDALUCÍA";26/12/2023;;
"1581";"F29011285";"SCA OLIVARERA SAN BENITO DE CAMPILLOS";"Málaga";"ANDALUCÍA";26/12/2023;;
"1582";"F29012861";"SCA AGRÍCOLA GANADERA NTRA. SRA. DE LA CABEZA";"Málaga";"ANDALUCÍA";26/12/2023;;
"1583";"F29013216";"SCA AGRÍCOLA SAN JUAN";"Málaga";"ANDALUCÍA";26/12/2023;;
"1584";"F29013224";"SCA OLIVARERA G.C. NTRA.SRA.CANDELARIA";"Málaga";"ANDALUCÍA";26/12/2023;;
"1585";"F29013794";"SCA SAN SEBASTIÁN";"Málaga";"ANDALUCÍA";26/12/2023;;
