"ID_TIPO_IG";"Tipo_IIGG";"ID_IIGG";"IIGG nombre_oficial";"Num_exp_UE";"ID_Categoría";"Categoría";"ID_Clase";"Clase";"ID_Subclase";"Subclase";"INE_COD_CA";"INE_CA";"Ámbito Territorial";"ID_IG_CCAA";"IG_CCAA";"INE_COD_PROV";"INE_PROV";Fecha de alta;Fecha de modificación;Fecha de baja
"2";"IGP";"71";"Alubia de La Bañeza-León";"PGI-ES-0492";"1";"Alimentarios";"6";"CLASE 1.6. FRUTAS, HORTALIZAS Y CEREALES FRESCOS O TRANSFORMADOS";"15";"1.6 Legumbres";"08";"Comunidad Autónoma de Castilla y León";"Castilla y León";"5";"Castilla y León";"49";"Zamora";27/06/2023;;
"2";"IGP";"72";"Garbanzo de Fuentesaúco";"PGI-ES-0264";"1";"Alimentarios";"6";"CLASE 1.6. FRUTAS, HORTALIZAS Y CEREALES FRESCOS O TRANSFORMADOS";"15";"1.6 Legumbres";"08";"Comunidad Autónoma de Castilla y León";"Castilla y León";"5";"Castilla y León";"49";"Zamora";27/06/2023;;
"2";"IGP";"73";"Judías de El Barco de Ávila";"PGI-ES-0101";"1";"Alimentarios";"6";"CLASE 1.6. FRUTAS, HORTALIZAS Y CEREALES FRESCOS O TRANSFORMADOS";"15";"1.6 Legumbres";"08";"Comunidad Autónoma de Castilla y León";"Castilla y León";"5";"Castilla y León";"05";"Ávila";27/06/2023;;
"2";"IGP";"73";"Judías de El Barco de Ávila";"PGI-ES-0101";"1";"Alimentarios";"6";"CLASE 1.6. FRUTAS, HORTALIZAS Y CEREALES FRESCOS O TRANSFORMADOS";"15";"1.6 Legumbres";"08";"Comunidad Autónoma de Castilla y León";"Castilla y León";"5";"Castilla y León";"37";"Salamanca";27/06/2023;;
"2";"IGP";"74";"Lenteja de La Armuña";"PGI-ES-0102";"1";"Alimentarios";"6";"CLASE 1.6. FRUTAS, HORTALIZAS Y CEREALES FRESCOS O TRANSFORMADOS";"15";"1.6 Legumbres";"08";"Comunidad Autónoma de Castilla y León";"Castilla y León";"5";"Castilla y León";"37";"Salamanca";27/06/2023;;
"2";"IGP";"75";"Lenteja de Tierra de Campos";"PGI-ES-0313";"1";"Alimentarios";"6";"CLASE 1.6. FRUTAS, HORTALIZAS Y CEREALES FRESCOS O TRANSFORMADOS";"15";"1.6 Legumbres";"08";"Comunidad Autónoma de Castilla y León";"Castilla y León";"5";"Castilla y León";"24";"León";27/06/2023;;
"2";"IGP";"75";"Lenteja de Tierra de Campos";"PGI-ES-0313";"1";"Alimentarios";"6";"CLASE 1.6. FRUTAS, HORTALIZAS Y CEREALES FRESCOS O TRANSFORMADOS";"15";"1.6 Legumbres";"08";"Comunidad Autónoma de Castilla y León";"Castilla y León";"5";"Castilla y León";"34";"Palencia";27/06/2023;;
"2";"IGP";"75";"Lenteja de Tierra de Campos";"PGI-ES-0313";"1";"Alimentarios";"6";"CLASE 1.6. FRUTAS, HORTALIZAS Y CEREALES FRESCOS O TRANSFORMADOS";"15";"1.6 Legumbres";"08";"Comunidad Autónoma de Castilla y León";"Castilla y León";"5";"Castilla y León";"47";"Valladolid";27/06/2023;;
"2";"IGP";"75";"Lenteja de Tierra de Campos";"PGI-ES-0313";"1";"Alimentarios";"6";"CLASE 1.6. FRUTAS, HORTALIZAS Y CEREALES FRESCOS O TRANSFORMADOS";"15";"1.6 Legumbres";"08";"Comunidad Autónoma de Castilla y León";"Castilla y León";"5";"Castilla y León";"49";"Zamora";27/06/2023;;
"2";"IGP";"77";"Cecina de León";"PGI-ES-0103";"1";"Alimentarios";"2";"CLASE 1.2. PRODUCTOS CÁRNICOS";"8";"1.2 Otros productos cárnicos";"08";"Comunidad Autónoma de Castilla y León";"Castilla y León";"5";"Castilla y León";"24";"León";27/06/2023;;
